Country,CancellationRecords,CancelledInvoices,CancelledValue
United Kingdom,7501,3208,537868.49
EIRE,247,59,15260.68
France,148,69,12308.259999999998
Singapore,7,3,12158.9
Germany,453,146,7168.929999999999
Spain,48,15,6802.53
Portugal,18,13,4380.08
Japan,37,9,2075.75
USA,112,2,1849.4699999999998
Sweden,11,10,1782.42
Australia,74,12,1444.04
Norway,14,4,1001.9800000000001
Netherlands,8,6,784.8
Switzerland,35,20,704.5500000000002
Cyprus,8,4,644.0899999999999
Italy,45,17,592.73
Channel Islands,10,7,364.15
Belgium,38,21,285.38000000000005
Israel,2,1,227.44
Malta,15,5,220.12
Finland,10,7,219.34
Denmark,9,3,187.20000000000002
Poland,11,5,121.51
Czech Republic,5,3,119.02
Greece,1,1,50.0
Austria,3,2,44.36
Saudi Arabia,1,1,14.75
European Community,1,1,8.5
