StockCode,CancellationRecords,CancelledQuantity,CancelledValue
23843,1,80995,168469.6
M,175,3995,112165.39000000001
23166,10,74494,77479.64000000001
POST,97,118,11093.72
22423,180,855,9697.05
CRUK,16,16,7933.43
85123A,42,2578,6624.3
21108,3,3150,6591.420000000001
D,77,1194,5696.219999999999
23113,6,946,4803.059999999999
48185,3,674,4554.9
21175,7,2030,3775.33
47566B,7,1424,3692.9499999999994
22273,6,1447,3512.649999999999
71477,31,1228,3443.6199999999994
22191,16,344,2653.7000000000003
21843,41,321,2469.5499999999997
85099B,44,1115,1984.02
23056,6,483,1763.07
22655,8,10,1730.5
22328,15,656,1685.6000000000001
22838,14,128,1671.6000000000001
23284,7,225,1601.25
23064,10,71,1514.0500000000002
22835,5,346,1475.6999999999998
20971,4,1321,1405.01
23199,21,723,1309.25
85232B,6,255,1258.0499999999997
84078A,8,35,1248.25
82483,42,203,1225.8500000000001
22992,7,710,1181.7
22991,5,708,1174.2
22086,10,453,1160.35
22149,9,623,1158.3
47566,19,268,1156.8
22699,53,435,1144.45
21877,15,1052,1134.3200000000002
22147,8,877,1103.65
23203,17,590,1076.4
23201,14,594,1076.0199999999998
23170,12,718,1046.3
22960,86,246,1004.5
22752,5,124,952.0000000000001
22910,12,351,931.45
22501,17,100,873.2
22776,40,93,863.0
22171,16,110,859.35
22920,2,1527,841.0500000000001
22570,3,245,832.35
20725,42,552,818.4
22386,13,456,816.58
22656,6,6,800.0
82494L,16,305,788.5500000000001
21069,1,701,743.0600000000001
22635,8,84,727.0500000000001
22720,72,153,725.1500000000001
21871,11,673,721.14
22847,30,43,696.8500000000001
21258,18,61,679.75
23207,13,448,659.6
22569,3,194,658.38
15056BL,5,130,652.5
22313,1,250,637.5
21479,4,185,635.9300000000001
22178,24,449,623.6500000000001
22942,12,76,604.35
21931,17,334,602.33
22411,11,342,599.07
23055,4,336,594.72
82486,21,70,585.9
82482,18,233,581.5500000000001
72802C,4,505,579.81
18097C,2,292,571.8000000000001
22990,11,126,553.7
22900,11,216,552.5999999999999
21035,2,200,550.0
22659,18,322,546.0
22111,7,129,544.4499999999999
22568,7,158,540.6600000000001
23057,5,337,540.15
23243,34,115,535.6500000000001
22796,22,55,524.05
22826,4,4,517.5
72807C,10,134,516.7
85099C,14,281,510.87999999999994
21155,13,238,510.6000000000001
22236,11,45,508.94999999999993
15036,4,744,505.68
23343,7,271,505.68
20969,2,145,491.91
23344,7,262,486.96000000000004
21928,10,268,484.53000000000003
23298,12,110,482.80999999999995
20685,7,66,461.22
22630,9,266,461.09999999999985
22564,1,432,457.92
72802B,5,400,456.5
22804,8,176,455.2
85099F,13,250,448.49
85071A,2,152,448.4
85066,25,41,448.05
37449,25,50,446.7
23157,1,240,444.0
23202,6,242,442.46000000000004
21232,60,384,442.0
23173,13,52,436.40000000000003
23071,4,76,434.0
21439,1,408,432.48
20713,6,243,431.43
22941,20,51,429.25
20712,9,240,426.46000000000004
22961,13,331,425.75
23245,37,90,421.4999999999999
22666,47,151,421.04999999999995
21787,3,528,420.0
22827,3,3,415.0
22950,4,325,413.65
84949,35,263,412.34999999999997
22588,3,195,411.87
23485,13,18,407.40000000000003
22561,3,276,405.0
22846,17,25,399.74999999999994
22493,4,273,396.45
22697,42,143,393.05
22698,35,138,387.5
21929,12,222,387.07000000000005
23494,11,65,386.75
22502,9,75,385.25
23072,2,72,384.0
21735,13,33,382.95
22634,23,41,381.84999999999997
23169,34,93,379.15000000000003
84946,27,335,372.96000000000004
23318,7,168,368.71
20974,3,566,367.90000000000003
22197,50,471,366.55
23167,9,525,365.18999999999994
22768,25,36,355.3
22689,2,52,354.0
22781,13,49,352.35
23462,12,18,350.09999999999997
79321,6,80,349.7
22767,17,35,348.24999999999994
23174,17,88,345.2
22112,7,80,344.88
22424,17,28,342.6
23256,8,88,338.0
22933,2,156,337.80000000000007
22070,5,296,336.54
22363,4,130,335.5
22467,29,146,334.95000000000005
20728,23,214,327.4999999999999
22456,32,68,326.8
85178,5,289,322.85
22151,5,890,321.96000000000004
23108,18,64,317.6
22503,2,13,312.15
22138,27,68,311.09999999999997
22580,3,60,309.00000000000006
85048,22,41,307.94999999999993
22834,7,203,306.04999999999995
35924,5,179,302.51
20914,34,107,300.85
84347,3,9367,298.65000000000003
23110,28,51,293.25
22956,3,152,283.20000000000005
23111,16,24,283.2
21781,8,21,283.15
22207,4,75,282.25
22360,16,104,282.0
22102,1,720,280.8
22173,6,101,279.77
22978,12,75,272.61
21314,40,139,270.15000000000003
22890,12,29,268.25
22727,31,71,266.25
15056N,6,45,266.05
22932,2,120,262.8
21731,11,174,261.49999999999994
21527,21,34,260.3
22865,11,123,258.05
84077,5,1200,253.92
21340,6,24,247.2
23319,6,116,244.97
22762,7,18,244.89999999999998
23200,6,134,243.63000000000005
22382,13,159,242.35
22169,16,30,242.25
23112,19,33,239.85000000000002
84816,5,6,239.7
22636,14,29,239.7
21481,7,88,239.60000000000002
22509,2,16,239.2
23109,1,96,239.04000000000002
21621,4,28,238.0
22427,12,41,237.95000000000002
22946,7,17,237.75
22797,10,14,237.29999999999998
11001,5,185,237.04999999999998
22384,20,152,236.20000000000002
22849,8,15,234.25
22487,17,25,232.8
85036C,3,193,232.25
23300,7,152,231.60000000000002
22105,1,240,228.0
22844,8,28,227.8
21154,4,212,227.0
23175,11,80,225.5
22769,2,10,225.5
22667,21,81,225.35000000000002
