Country,Revenue,Orders,Customers,Units,Products,AverageOrderValue,RevenuePerCustomer,RevenuePercentage
United Kingdom,7285024.644,16646,3920,4241305,3645,437.64415739517005,1858.4246540816328,81.97201990962901
Netherlands,285446.34,94,9,200361,782,3036.663191489362,31716.260000000002,3.2118783681647534
EIRE,265262.46,260,3,140133,1943,1020.2402307692308,88420.82,2.984766794207865
Germany,228678.4,457,94,119154,1664,500.39037199124726,2432.748936170213,2.5731183178825368
France,208934.31,389,87,111428,1522,537.1061953727507,2401.543793103448,2.3509553167030575
Australia,138453.81,57,9,83891,599,2429.0142105263158,15383.756666666666,1.5578998046672898
Spain,61558.56,90,30,27933,1091,683.9839999999999,2051.9519999999998,0.6926647132325188
Switzerland,56443.95,51,21,30082,947,1106.7441176470588,2687.807142857143,0.6351144737703518
Belgium,41196.34,98,25,23237,777,420.3708163265306,1647.8536,0.46354643500967757
Sweden,38367.83,36,8,36078,261,1065.7730555555556,4795.97875,0.4317196822717106
Japan,37416.369999999995,19,8,26016,215,1969.282631578947,4677.046249999999,0.4210137338536154
Norway,36165.44,36,10,19336,591,1004.5955555555556,3616.5440000000003,0.4069381110690027
Portugal,33375.840000000004,57,19,16095,686,585.541052631579,1756.623157894737,0.3755491785788107
Finland,22546.08,41,12,10704,458,549.9043902439025,1878.8400000000001,0.25369134751880856
Singapore,21279.29,7,1,5241,178,3039.8985714285714,21279.29,0.23943726600559864
Channel Islands,20440.54,26,9,9485,430,786.1746153846154,2271.1711111111113,0.22999954478171403
Denmark,18955.34,18,9,8235,251,1053.0744444444445,2106.148888888889,0.2132878862878679
Italy,17483.24,38,14,8112,473,460.08526315789476,1248.8028571428572,0.19672363065307735
Cyprus,13502.85,16,8,6340,498,843.928125,1687.85625,0.15193577827473087
Austria,10198.68,17,11,4881,306,599.9223529411765,927.1527272727272,0.11475683897658141
Poland,7334.65,19,6,3684,204,386.03421052631575,1222.4416666666666,0.08253041070016735
Israel,7215.84,5,3,4043,219,1443.1680000000001,2405.28,0.08119354553341954
Greece,4760.52,5,4,1557,138,952.104,1190.13,0.053565973938273906
Iceland,4310.0,7,1,2458,103,615.7142857142857,4310.0,0.048496665841958546
Canada,3666.38,6,4,2763,147,611.0633333333334,916.595,0.04125457209040371
USA,3580.39,5,4,2458,163,716.078,895.0975,0.04028700172016009
Malta,2725.59,5,2,970,99,545.118,1362.795,0.030668683863615733
Unspecified,2660.77,8,4,1785,213,332.59625,665.1925,0.029939321014456625
United Arab Emirates,1902.28,3,2,982,68,634.0933333333334,951.14,0.0214046954751371
Lebanon,1693.88,1,1,386,45,1693.88,1693.88,0.019059752282221985
Lithuania,1661.06,4,1,652,29,415.265,1661.06,0.01869045748571779
European Community,1300.25,4,1,499,50,325.0625,1300.25,0.014630577670767196
Brazil,1143.6,1,1,356,32,1143.6,1143.6,0.01286793203175494
RSA,1002.3100000000001,1,1,351,57,1002.3100000000001,1002.3100000000001,0.011278119058017047
Czech Republic,826.74,2,1,671,25,413.37,826.74,0.009302583182872578
Bahrain,548.4,2,2,260,16,274.2,274.2,0.006170666252373566
Saudi Arabia,145.92,1,1,80,9,145.92,145.92,0.0016419103201064018
