CustomerID,TotalTransactions,TotalQuantity,TotalRevenue,UniqueProducts,ActiveDays,FirstPurchase,LastPurchase,CustomerLifetimeDays,Cluster,Segment
12346,2,0,0.0,1,1,2011-01-18 10:01:00,2011-01-18 10:17:00,0,0,Segment 0
12347,7,2458,4310.0,103,7,2010-12-07 14:57:00,2011-12-07 15:52:00,365,2,Segment 2
12348,4,2341,1797.24,22,4,2010-12-16 19:09:00,2011-09-25 13:13:00,282,0,Segment 0
12349,1,631,1757.55,73,1,2011-11-21 09:51:00,2011-11-21 09:51:00,0,2,Segment 2
12350,1,197,334.4,17,1,2011-02-02 16:01:00,2011-02-02 16:01:00,0,0,Segment 0
12352,11,470,1545.41,59,7,2011-02-16 12:33:00,2011-11-03 14:37:00,260,2,Segment 2
12353,1,20,89.0,4,1,2011-05-19 17:47:00,2011-05-19 17:47:00,0,0,Segment 0
12354,1,530,1079.4,58,1,2011-04-21 13:11:00,2011-04-21 13:11:00,0,2,Segment 2
12355,1,240,459.4,13,1,2011-05-09 13:49:00,2011-05-09 13:49:00,0,0,Segment 0
12356,3,1591,2811.43,53,3,2011-01-18 09:50:00,2011-11-17 08:40:00,302,2,Segment 2
12357,1,2708,6207.67,131,1,2011-11-06 16:07:00,2011-11-06 16:07:00,0,2,Segment 2
12358,2,248,1168.06,13,2,2011-07-12 10:04:00,2011-12-08 10:26:00,149,0,Segment 0
12359,6,1599,6182.9800000000005,214,6,2011-01-12 12:43:00,2011-12-02 11:21:00,323,2,Segment 2
12360,3,1165,2662.06,105,3,2011-05-23 09:43:00,2011-10-18 15:22:00,148,2,Segment 2
12361,1,91,189.9,10,1,2011-02-25 13:51:00,2011-02-25 13:51:00,0,0,Segment 0
12362,13,2212,5154.58,201,13,2011-02-17 10:30:00,2011-12-06 15:40:00,292,2,Segment 2
12363,2,408,552.0,23,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,0,Segment 0
12364,4,1506,1313.1,70,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,2,Segment 2
12365,3,173,320.69,22,1,2011-02-21 13:51:00,2011-02-21 14:04:00,0,0,Segment 0
12367,1,173,168.9,11,1,2011-12-05 16:48:00,2011-12-05 16:48:00,0,0,Segment 0
12370,4,2352,3541.94,143,4,2010-12-14 12:58:00,2011-10-19 14:51:00,309,2,Segment 2
12371,2,591,1887.96,63,2,2011-10-11 10:43:00,2011-10-26 10:16:00,14,2,Segment 2
12372,3,794,1298.04,34,3,2011-02-16 12:46:00,2011-09-29 12:12:00,224,2,Segment 2
12373,1,197,364.6,14,1,2011-02-01 13:10:00,2011-02-01 13:10:00,0,0,Segment 0
12374,1,342,742.9300000000001,33,1,2011-11-14 15:37:00,2011-11-14 15:37:00,0,2,Segment 2
12375,3,177,455.42,14,3,2011-09-02 14:23:00,2011-12-07 11:27:00,95,0,Segment 0
12377,2,944,1628.12,72,2,2010-12-20 09:37:00,2011-01-28 15:45:00,39,2,Segment 2
12378,1,2529,4008.62,219,1,2011-08-02 10:34:00,2011-08-02 10:34:00,0,2,Segment 2
12379,3,406,850.29,39,3,2011-06-22 16:32:00,2011-09-19 10:09:00,88,2,Segment 2
12380,5,1126,2720.56,77,5,2011-06-07 09:49:00,2011-11-18 11:27:00,164,2,Segment 2
12381,6,783,1803.96,70,6,2011-08-12 09:57:00,2011-12-05 12:44:00,115,2,Segment 2
12383,6,1529,1839.31,84,6,2010-12-22 14:28:00,2011-06-08 08:02:00,167,2,Segment 2
12384,3,121,566.16,26,3,2011-08-10 11:23:00,2011-11-11 08:39:00,92,0,Segment 0
12386,2,354,401.9,10,2,2010-12-08 09:53:00,2011-01-06 12:37:00,29,0,Segment 0
12388,6,1462,2780.66,57,6,2011-01-17 11:12:00,2011-11-24 12:30:00,311,2,Segment 2
12390,1,353,549.84,32,1,2011-09-21 09:33:00,2011-09-21 09:33:00,0,0,Segment 0
12391,1,293,439.66,92,1,2011-11-18 12:07:00,2011-11-18 12:07:00,0,2,Segment 2
12393,4,816,1582.6,47,4,2011-01-11 09:47:00,2011-09-28 15:41:00,260,2,Segment 2
12394,2,819,1272.48,26,2,2011-05-06 14:01:00,2011-10-07 08:08:00,153,0,Segment 0
12395,15,2113,2998.28,91,14,2010-12-03 16:35:00,2011-11-24 12:20:00,355,2,Segment 2
12397,2,1263,2409.9,110,2,2011-07-27 14:21:00,2011-11-04 09:52:00,99,2,Segment 2
12398,1,1394,1635.66,85,1,2011-10-25 10:27:00,2011-10-25 10:27:00,0,2,Segment 2
12399,4,1178,1108.65,47,4,2011-03-23 09:42:00,2011-08-12 13:15:00,142,2,Segment 2
12401,1,11,84.3,5,1,2011-02-09 13:50:00,2011-02-09 13:50:00,0,0,Segment 0
12402,1,94,225.6,11,1,2011-01-20 13:49:00,2011-01-20 13:49:00,0,0,Segment 0
12403,2,95,409.7,5,1,2011-10-21 10:51:00,2011-10-21 11:00:00,0,0,Segment 0
12405,1,857,1710.39,54,1,2011-07-14 08:52:00,2011-07-14 08:52:00,0,2,Segment 2
12406,3,1809,3280.75,92,3,2011-06-09 10:23:00,2011-11-17 19:22:00,161,2,Segment 2
12407,5,1416,1708.12,57,5,2011-03-20 13:21:00,2011-10-21 10:11:00,214,2,Segment 2
12408,9,1399,2842.57,81,7,2011-03-24 14:46:00,2011-11-07 12:30:00,227,2,Segment 2
12409,7,5543,11056.93,91,4,2011-06-10 12:19:00,2011-09-22 10:38:00,103,2,Segment 2
12410,3,209,681.0799999999999,26,2,2011-02-04 10:38:00,2011-02-11 15:47:00,7,0,Segment 0
12412,3,829,1226.88,43,3,2011-06-23 13:51:00,2011-09-26 10:16:00,94,2,Segment 2
12413,5,282,694.15,29,4,2011-01-06 16:12:00,2011-10-04 09:00:00,270,0,Segment 0
12414,3,300,562.41,16,3,2011-02-02 14:51:00,2011-05-06 14:51:00,93,0,Segment 0
12415,26,77242,123725.45,444,18,2011-01-06 11:12:00,2011-11-15 14:22:00,313,1,Segment 1
12417,12,1539,3578.8,158,12,2010-12-17 11:51:00,2011-12-06 14:52:00,354,2,Segment 2
12418,1,407,668.58,34,1,2011-08-19 11:08:00,2011-08-19 11:08:00,0,2,Segment 2
12420,1,345,600.39,29,1,2011-10-07 08:55:00,2011-10-07 08:55:00,0,0,Segment 0
12421,5,483,806.27,33,4,2011-01-24 15:09:00,2011-11-24 09:07:00,303,2,Segment 2
12422,3,370,803.5600000000001,39,3,2011-01-19 09:13:00,2011-09-05 09:48:00,229,2,Segment 2
12423,9,1327,1849.11,97,9,2010-12-21 10:54:00,2011-12-09 10:10:00,352,2,Segment 2
12424,2,740,1760.96,30,1,2011-06-30 12:06:00,2011-06-30 12:06:00,0,0,Segment 0
12425,1,496,777.2,36,1,2011-09-22 17:31:00,2011-09-22 17:31:00,0,2,Segment 2
12426,1,258,582.73,30,1,2011-05-29 12:26:00,2011-05-29 12:26:00,0,0,Segment 0
12427,5,236,708.37,26,5,2010-12-03 10:44:00,2011-11-28 10:48:00,360,0,Segment 0
12428,12,3503,7877.2,258,10,2011-03-01 09:33:00,2011-11-14 08:22:00,257,2,Segment 2
12429,4,1557,3750.4,82,4,2010-12-09 12:05:00,2011-11-30 17:22:00,356,2,Segment 2
12430,1,117,256.4,11,1,2011-10-27 15:09:00,2011-10-27 15:09:00,0,0,Segment 0
12431,18,2858,6348.89,163,16,2010-12-01 10:03:00,2011-11-04 11:55:00,338,2,Segment 2
12432,5,1801,5059.32,107,3,2011-06-20 13:27:00,2011-10-28 11:43:00,129,2,Segment 2
12433,7,11071,13375.87,219,6,2010-12-01 13:24:00,2011-12-09 10:02:00,372,2,Segment 2
12434,4,373,765.19,49,4,2010-12-14 11:12:00,2011-09-16 12:38:00,276,2,Segment 2
12435,2,2055,7829.89,31,2,2011-03-17 07:40:00,2011-09-21 09:06:00,188,2,Segment 2
12436,1,211,509.01,16,1,2011-09-01 12:09:00,2011-09-01 12:09:00,0,0,Segment 0
12437,19,2918,4896.66,119,16,2011-01-12 14:13:00,2011-12-08 11:35:00,329,2,Segment 2
12438,2,1180,2906.85,84,2,2011-07-22 13:29:00,2011-11-25 13:28:00,125,2,Segment 2
12441,1,121,173.55,11,1,2010-12-08 10:45:00,2010-12-08 10:45:00,0,0,Segment 0
12442,1,182,172.06,12,1,2011-12-06 14:22:00,2011-12-06 14:22:00,0,0,Segment 0
12444,5,1155,5005.46,138,5,2011-06-21 14:00:00,2011-11-18 13:23:00,149,2,Segment 2
12445,1,62,133.4,4,1,2011-11-17 18:43:00,2011-11-17 18:43:00,0,0,Segment 0
12446,1,352,1002.31,58,1,2011-10-13 12:50:00,2011-10-13 12:50:00,0,2,Segment 2
12447,1,190,476.49,26,1,2011-04-10 13:25:00,2011-04-10 13:25:00,0,0,Segment 0
12448,1,243,449.45,22,1,2011-10-26 13:46:00,2011-10-26 13:46:00,0,0,Segment 0
12449,4,1553,4067.29,118,4,2011-06-05 15:37:00,2011-11-17 13:46:00,164,2,Segment 2
12450,2,128,197.88,7,2,2011-06-19 14:36:00,2011-07-06 14:41:00,17,0,Segment 0
12451,6,6455,8933.52,265,6,2011-01-19 09:05:00,2011-11-29 08:40:00,313,2,Segment 2
12452,3,183,428.57,21,1,2011-11-23 08:05:00,2011-11-23 10:28:00,0,0,Segment 0
12453,1,473,707.09,43,1,2011-07-28 14:08:00,2011-07-28 14:08:00,0,2,Segment 2
12454,2,0,5.684341886080804e-14,15,2,2011-10-14 17:13:00,2011-10-17 15:07:00,2,0,Segment 0
12455,6,2089,2466.86,85,6,2011-02-16 09:56:00,2011-09-27 15:31:00,223,2,Segment 2
