Date,Revenue,Orders,Customers,Units,RevenueRolling7Day
2010-12-01,46192.49,121,95,24114,46192.49
2010-12-02,47197.57,137,99,31077,46695.03
2010-12-03,23876.63,57,50,11798,39088.89666666667
2010-12-05,31361.28,87,75,16241,37156.9925
2010-12-06,31009.33,94,82,16115,35927.46
2010-12-07,53730.96,71,65,19404,38894.71
2010-12-08,39094.2,111,99,21497,38923.208571428564
2010-12-09,38193.91,98,90,17383,37780.55428571429
2010-12-10,33488.38,72,53,15927,35822.09857142857
2010-12-12,17102.35,43,42,10533,34854.34428571428
2010-12-13,27578.34,64,59,15309,34313.92428571429
2010-12-14,29235.13,81,73,17707,34060.467142857146
2010-12-15,30251.47,70,66,18388,30706.25428571428
2010-12-16,48791.87,113,98,29711,32091.635714285716
2010-12-17,19966.36,55,51,11395,29487.7
2010-12-19,7292.95,18,17,3674,25745.495714285713
2010-12-20,19599.06,50,41,13419,26102.16857142857
2010-12-21,15929.16,27,23,11062,24438.0
2010-12-22,4886.52,14,13,3074,20959.62714285714
2010-12-23,5644.77,17,15,3220,17444.384285714284
2011-01-04,12105.11,35,34,6950,12203.418571428572
2011-01-05,28799.43,48,45,18369,13465.285714285714
2011-01-06,34343.79,46,45,21534,17329.69142857143
2011-01-07,23797.79,47,45,15122,17929.510000000002
2011-01-09,15590.68,48,48,8125,17881.155714285716
2011-01-10,15330.83,34,32,9380,19373.2
2011-01-11,60243.73,53,47,26072,27173.05142857143
2011-01-12,17124.74,42,42,7883,27890.14142857143
2011-01-13,15159.460000000001,41,41,8309,25941.574285714283
2011-01-14,39509.7,38,37,21098,26679.56142857143
2011-01-16,6976.39,25,22,4086,24276.50428571429
2011-01-17,16527.05,46,45,8692,24410.271428571432
2011-01-18,87559.21,32,31,80605,34728.611428571436
2011-01-19,21586.78,33,33,15869,29206.190000000002
2011-01-20,15197.08,34,30,8171,28930.81
2011-01-21,24276.01,34,32,12694,30233.17428571429
2011-01-23,10306.1,27,27,5200,26061.231428571427
2011-01-24,17601.87,44,43,9587,27579.15714285714
2011-01-25,23994.38,59,57,14443,28645.91857142857
2011-01-26,17424.45,53,49,10418,18626.667142857143
2011-01-27,22050.49,50,50,10902,18692.911428571428
2011-01-28,17247.2,37,36,9164,18985.785714285714
2011-01-30,6542.61,24,22,3383,16452.442857142858
2011-01-31,18806.43,57,50,12417,17666.77571428571
2011-02-01,26358.7,58,57,14995,18917.75142857143
2011-02-02,17091.15,56,55,8908,17931.575714285715
2011-02-03,22171.9,45,44,15427,18609.782857142858
2011-02-04,18087.96,45,41,11254,18043.707142857143
2011-02-06,3439.67,11,11,2036,16071.202857142856
2011-02-07,23382.97,38,35,8567,18476.96857142857
2011-02-08,14153.34,38,37,8664,17812.24142857143
2011-02-09,11910.83,23,22,6144,15748.26
2011-02-10,14155.36,40,39,11767,15328.86142857143
2011-02-11,18579.96,38,34,9575,14815.727142857142
2011-02-13,5645.48,20,20,2723,13038.23
2011-02-14,22999.39,36,36,12339,15832.475714285714
2011-02-15,37750.62,53,47,22082,17884.99714285714
2011-02-16,23413.97,62,56,15729,19207.944285714282
2011-02-17,17659.64,55,50,12747,20029.202857142856
2011-02-18,14438.73,35,34,8610,20069.684285714287
2011-02-20,9437.8,26,26,5218,18763.661428571428
2011-02-21,32724.38,33,31,20376,22632.075714285715
2011-02-22,29116.63,50,47,20921,23505.967142857142
2011-02-23,19315.97,53,49,12139,20872.445714285714
2011-02-24,21463.94,53,52,11558,20593.87
2011-02-25,18377.14,45,42,10038,20696.37
2011-02-27,9382.71,33,31,4823,19974.08142857143
2011-02-28,15026.68,51,49,8387,20772.492857142857
2011-03-01,23621.59,56,52,11566,19472.094285714287
2011-03-02,18666.14,42,40,8608,17979.16714285714
2011-03-03,32818.19,47,46,19119,19908.05571428571
2011-03-04,17302.55,45,38,12930,19313.571428571428
2011-03-06,9951.67,26,24,5026,18109.932857142856
2011-03-07,20247.85,58,49,11088,19662.09571428571
2011-03-08,22184.11,44,41,13811,20684.585714285717
2011-03-09,20320.23,51,47,11457,20212.96285714286
2011-03-10,24429.77,52,46,15222,21036.338571428572
2011-03-11,20894.75,48,42,9249,19332.989999999998
2011-03-13,4117.22,16,16,2733,17449.37142857143
2011-03-14,25866.33,48,41,16729,19722.894285714287
2011-03-15,14896.28,41,40,7918,18958.384285714284
2011-03-16,21715.11,50,46,12843,18891.384285714284
2011-03-17,31976.51,56,51,19025,20556.567142857144
2011-03-18,23334.6,52,48,13214,20400.114285714284
2011-03-20,19880.99,57,56,13473,20255.29142857143
2011-03-21,16020.1,48,47,9443,21955.70285714286
2011-03-22,19016.94,41,40,13484,20977.21857142857
2011-03-23,21566.02,59,55,13918,21930.03857142857
2011-03-24,36496.79,68,63,18164,24041.70714285714
2011-03-25,27271.1,52,45,13325,23369.505714285715
2011-03-27,9189.77,31,31,4495,21348.815714285713
2011-03-28,19961.67,58,52,11574,21360.34142857143
2011-03-29,37190.52,50,46,24183,24384.687142857143
2011-03-30,29523.85,66,63,20055,25885.674285714285
2011-03-31,25621.11,59,57,14930,26464.972857142857
2011-04-01,24487.9,68,59,18279,24749.41714285714
2011-04-03,6872.53,19,18,5646,21835.335714285717
2011-04-04,28998.010000000002,54,49,12861,24665.084285714285
2011-04-05,28667.42,46,45,15175,25908.762857142858
2011-04-06,12698.32,37,36,8011,22409.877142857145
2011-04-07,16780.32,61,57,10063,20589.372857142855
2011-04-08,22673.91,65,63,12272,20168.344285714287
2011-04-10,9879.75,32,31,5603,18081.465714285714
2011-04-11,20179.7,59,54,13127,19982.489999999998
2011-04-12,23988.6,60,54,14577,19266.859999999997
2011-04-13,24450.27,60,54,18752,18664.41
2011-04-14,35682.73,82,75,18507,21947.897142857142
2011-04-15,17999.181,41,40,11088,22122.02014285714
2011-04-17,12630.34,42,39,8136,20687.22442857143
2011-04-18,43671.37,62,56,26219,25514.598714285712
2011-04-19,18811.19,53,52,12902,25319.097285714288
2011-04-20,25715.8,62,58,17851,25565.84014285714
2011-04-21,27771.04,71,64,17075,26040.23585714286
2011-04-26,21536.86,59,55,14458,24019.397285714287
2011-04-27,23566.91,61,56,17658,24814.78714285714
2011-04-28,21312.18,55,49,13106,26055.05
2011-05-01,6958.11,18,18,3814,20810.29857142857
2011-05-03,28877.21,59,50,11134,22248.301428571427
2011-05-04,27509.81,62,55,17359,22504.588571428572
2011-05-05,25191.79,82,76,16188,22136.124285714286
2011-05-06,30783.33,77,64,18285,23457.048571428575
2011-05-08,18731.98,63,58,10621,22766.344285714287
2011-05-09,21608.16,63,59,11679,22808.62714285714
2011-05-10,29807.25,70,63,16381,26072.79
2011-05-11,31848.3,73,56,18422,26497.23142857143
2011-05-12,59827.74,84,68,37090,31114.07857142857
2011-05-13,25815.72,67,52,13265,31203.21142857143
2011-05-15,9667.15,30,29,4768,28186.614285714284
2011-05-16,35706.7,64,52,15135,30611.574285714287
2011-05-17,46361.090000000004,72,56,25164,34147.70714285714
2011-05-18,32775.69,71,62,18591,34571.770000000004
2011-05-19,31521.87,92,82,17160,34525.137142857144
2011-05-20,25351.44,69,58,15063,29599.95142857143
2011-05-22,24102.0,61,57,12645,29355.134285714284
2011-05-23,31232.53,64,55,17479,32435.902857142857
2011-05-24,32460.83,62,53,14577,31972.207142857143
2011-05-25,21870.71,60,52,12435,28473.58142857143
2011-05-26,32764.38,61,50,16146,28471.965714285714
2011-05-27,21109.22,56,49,14828,26984.44428571429
2011-05-29,7338.9400000000005,24,20,4067,24411.230000000003
2011-05-31,18133.2,51,48,10568,23558.544285714284
2011-06-01,15380.39,37,35,9555,21293.95285714286
2011-06-02,28078.91,42,33,13703,20667.964285714286
2011-06-03,15024.11,41,37,7237,19689.878571428573
2011-06-05,25423.760000000002,67,62,13397,18641.218571428573
2011-06-06,16269.03,56,54,9139,17949.762857142858
2011-06-07,33807.85,71,68,17659,21731.035714285714
2011-06-08,30122.23,82,71,18809,23443.754285714287
2011-06-09,42862.8,82,76,27153,27369.812857142857
2011-06-10,58245.12,44,41,9833,31679.271428571432
2011-06-12,12397.09,38,38,9454,31303.98285714286
2011-06-13,19696.66,52,49,10653,30485.82571428572
2011-06-14,33324.49,52,42,12960,32922.32
2011-06-15,44954.18,50,42,29446,34514.65285714286
2011-06-16,32252.1,81,74,19616,34818.92
2011-06-17,19053.53,46,35,11345,31417.595714285715
2011-06-19,22421.48,60,57,15069,26299.932857142856
2011-06-20,26110.99,59,49,14865,28259.06142857143
2011-06-21,19827.91,48,45,13122,28277.81142857143
2011-06-22,21143.75,57,55,15269,26537.705714285716
2011-06-23,22469.62,69,64,13972,23325.625714285714
2011-06-24,16016.04,45,40,9063,21006.18857142857
2011-06-26,7032.36,26,24,3760,19288.87857142857
2011-06-27,13381.75,35,31,9151,17997.488571428574
2011-06-28,30470.88,49,41,20821,18620.329999999998
2011-06-29,12569.78,39,36,7468,17583.454285714284
2011-06-30,41709.24,65,55,20495,20521.381428571425
2011-07-01,12146.44,42,35,7433,19046.641428571427
2011-07-03,5972.7300000000005,25,24,3091,17611.882857142857
2011-07-04,30941.37,37,32,12056,21027.455714285716
2011-07-05,25988.510000000002,64,58,17631,22828.42142857143
2011-07-06,22934.22,66,61,17805,21751.755714285715
2011-07-07,27860.38,73,67,17638,23936.127142857145
2011-07-08,17538.5,46,42,10153,20483.164285714283
2011-07-10,5959.54,24,20,4204,19599.321428571428
2011-07-11,20008.83,48,43,14097,21604.47857142857
2011-07-12,17938.49,45,41,11537,19746.924285714285
2011-07-13,19411.52,56,50,15251,18807.354285714286
2011-07-14,31979.04,69,61,17049,20099.471428571433
2011-07-15,11814.7,37,34,6359,17807.231428571427
2011-07-17,16926.15,50,45,10809,17719.75285714286
2011-07-18,22001.63,46,45,12701,20011.480000000003
2011-07-19,46583.01,62,57,28400,23807.79142857143
2011-07-20,27021.06,53,47,15341,25105.301428571427
2011-07-21,30271.94,70,59,19533,26656.79
2011-07-22,14628.880000000001,37,34,8325,24178.195714285714
2011-07-24,26777.92,57,53,17569,26315.79857142857
2011-07-25,19676.55,53,49,14271,26708.71285714286
2011-07-26,17284.301,46,44,12637,26034.80871428572
2011-07-27,22846.13,44,39,13224,22643.825857142856
2011-07-28,54171.95,78,68,29683,26522.52442857143
2011-07-29,17166.75,62,57,11165,24650.354428571427
2011-07-31,33112.36,41,37,19398,27290.85157142857
2011-08-01,19778.12,39,35,11256,26290.880142857146
2011-08-02,20272.0,41,39,14223,26375.94442857143
2011-08-03,26572.83,62,59,16125,27702.87714285714
2011-08-04,62074.19,79,76,40092,33306.885714285716
2011-08-05,19703.95,52,47,12162,28382.885714285716
2011-08-07,7541.91,29,28,5174,27007.90857142857
2011-08-08,19743.98,38,38,12430,25098.140000000003
2011-08-09,25949.920000000002,40,38,15821,25979.825714285715
2011-08-10,19853.41,43,42,12326,25920.027142857143
2011-08-11,54325.27,64,58,36444,29884.661428571428
2011-08-12,17970.170000000002,46,40,11049,23584.087142857144
2011-08-14,5701.87,25,21,3172,21583.79
2011-08-15,17235.95,48,46,10173,22968.652857142853
2011-08-16,16072.710000000001,50,44,10461,22444.185714285715
2011-08-17,48554.44,51,45,24794,25673.402857142857
2011-08-18,54034.98,67,64,34016,30556.484285714287
2011-08-19,17326.07,55,54,10663,25270.884285714284
2011-08-21,14410.25,38,36,8075,24762.324285714283
2011-08-22,29617.26,63,57,15527,28178.808571428573
2011-08-23,22384.02,60,56,13698,28914.247142857144
2011-08-24,38371.37,72,59,27328,32099.77
2011-08-25,22441.260000000002,72,68,13151,28369.315714285713
2011-08-26,24095.49,44,41,16763,24092.245714285713
2011-08-28,10686.56,37,36,6701,23143.74428571429
2011-08-30,8805.17,23,23,4207,22343.018571428573
2011-08-31,20527.89,42,39,11542,21044.537142857145
2011-09-01,37358.62,76,69,27850,23183.765714285717
2011-09-02,30203.86,64,58,15375,22016.97857142857
2011-09-04,16930.43,49,45,10863,21229.717142857142
2011-09-05,35439.91,67,57,22266,22850.34857142857
2011-09-06,25466.97,61,54,14451,24961.835714285717
2011-09-07,21967.420000000002,46,42,13731,26842.157142857144
2011-09-08,23048.38,72,63,15979,27202.227142857148
2011-09-09,25082.86,58,52,15989,25448.547142857144
2011-09-11,35206.92,75,68,20906,26163.27
2011-09-12,27777.36,67,62,16323,27712.83142857143
2011-09-13,48116.5,63,61,35000,29523.772857142856
2011-09-14,22013.75,65,58,13433,29030.455714285716
2011-09-15,71926.69,79,70,27638,36167.49428571428
2011-09-16,23245.03,46,44,14125,36195.58714285714
2011-09-18,15639.55,27,25,8937,34846.54285714286
2011-09-19,46588.21,69,63,29241,36472.44142857142
2011-09-20,103377.68,67,53,42599,47272.48714285714
2011-09-21,38472.1,67,65,19615,45894.71571428572
2011-09-22,57734.98,111,94,32749,50997.74857142857
2011-09-23,31753.75,58,56,19786,45258.75714285714
2011-09-25,31164.781,75,74,19424,46390.15014285715
2011-09-26,29265.511,65,62,15238,48336.716
2011-09-27,29212.32,75,67,19505,45854.446
2011-09-28,39001.91,80,72,24026,36657.90742857143
2011-09-29,44671.27,103,93,26957,37543.503142857146
2011-09-30,40023.44,70,60,21646,35013.283142857144
2011-10-02,11479.98,34,32,8322,32117.030285714285
2011-10-03,62143.07,65,48,24553,36542.50014285714
2011-10-04,38532.090000000004,74,65,23016,37866.29714285715
2011-10-05,73975.56999999999,94,82,45854,44261.04714285714
2011-10-06,60258.53,116,98,34513,47297.707142857136
2011-10-07,49089.47,85,74,29636,47928.87857142858
2011-10-09,12215.51,38,35,7263,43956.31714285714
2011-10-10,42962.8,90,83,24990,48453.86285714286
2011-10-11,46401.14,78,69,26633,46205.01571428571
2011-10-12,27655.2,82,73,16151,44651.17428571428
2011-10-13,32850.25,74,67,17813,38776.12857142858
2011-10-14,32071.62,70,61,17189,34749.427142857145
2011-10-16,21767.94,35,32,8649,30846.35142857143
2011-10-17,46868.65,85,76,30056,35796.8
2011-10-18,37248.16,77,73,26865,34980.42285714286
2011-10-19,37227.88,77,71,18185,33669.95714285714
2011-10-20,60910.3,86,76,40833,38420.68571428572
2011-10-21,60364.01,62,56,24211,42351.22285714286
2011-10-23,12156.57,42,39,6953,39506.21571428572
2011-10-24,38897.89,73,61,23661,41953.351428571434
2011-10-25,36113.86,72,65,25608,40416.95285714285
2011-10-26,34105.36,92,77,20101,39967.98142857143
2011-10-27,55747.2,104,91,32418,42613.59857142857
2011-10-28,37194.58,65,60,22966,39225.638571428564
2011-10-30,34397.95,96,88,19943,35516.201428571425
2011-10-31,33006.87,63,61,15161,38494.81571428571
