Hour,Revenue,Orders,Customers,Units,AverageOrderValue
6,4.25,1,1,1,4.25
7,31059.21,29,28,15370,1071.0072413793102
8,281997.79,555,427,157815,508.10412612612606
9,842392.341,1393,890,482216,604.7324773869346
10,1259267.591,2226,1268,774799,565.7087111410602
11,1101177.6,2277,1303,645056,483.60895915678526
12,1373695.39,3130,1637,822368,438.8803162939297
13,1168724.2,2636,1573,680275,443.3703338391502
14,991992.821,2274,1386,555896,436.2325510114336
15,963559.68,2037,1275,539004,473.02880706921945
16,467380.56,1100,749,253158,424.89141818181815
17,233811.59100000001,544,414,129136,429.80071875000004
18,104744.99,169,141,54899,619.7928402366864
19,48568.4,144,98,32501,337.28055555555557
20,18832.48,18,15,9508,1046.2488888888888
