YearMonth,Revenue,Orders,Customers,Units,Products,AverageOrderValue,RevenuePerCustomer,RevenueGrowthPct,OrderGrowthPct
2010-12,570422.73,1400,885,311048,2411,407.44480714285714,644.5454576271186,,
2011-01,568101.31,987,741,348473,2121,575.58390070922,766.6684345479083,-0.40696484868334437,-29.500000000000004
2011-02,446084.92,997,758,265027,2124,447.4272016048144,588.5025329815303,-21.477927942113006,1.0131712259371817
2011-03,594081.76,1321,974,347582,2234,449.72124148372444,609.940205338809,33.17683099442144,32.4974924774323
2011-04,468374.331,1149,856,291366,2217,407.63649347258485,547.1662745327103,-21.15995431335915,-13.02043906131718
2011-05,677355.15,1555,1056,372864,2219,435.59816720257237,641.4348011363636,44.618333065737545,35.335073977371636
2011-06,660046.05,1393,991,363014,2339,473.8306173725772,666.0404137235116,-2.5553950538354964,-10.418006430868164
2011-07,598962.901,1331,949,367360,2351,450.0096927122464,631.1516343519494,-9.254376872643977,-4.4508255563532
2011-08,644051.04,1280,935,397373,2356,503.16487500000005,688.82464171123,7.527701452748259,-3.831705484598047
2011-09,950690.202,1755,1266,543652,2545,541.7038188034188,750.9401279620854,47.611003314271485,37.109375
2011-10,1035642.45,1929,1364,591543,2622,536.8804821150856,759.2686583577712,8.935849745930158,9.914529914529924
2011-11,1156205.61,2657,1664,665923,2695,435.15453895370723,694.8351021634616,11.641388396159336,37.73976153447383
2011-12,517190.44,778,615,286777,2173,664.769203084833,840.9600650406504,-55.26829868953844,-70.71885585246518
