InvoiceNo,OrderRevenue,Units,ProductLines,CustomerID,InvoiceDate
536365,139.12,40,7,17850,2010-12-01 08:26:00
536366,22.200000000000003,12,2,17850,2010-12-01 08:28:00
536367,278.73,83,12,13047,2010-12-01 08:34:00
536368,70.05000000000001,15,4,13047,2010-12-01 08:34:00
536369,17.85,3,1,13047,2010-12-01 08:35:00
536370,855.86,449,20,12583,2010-12-01 08:45:00
536371,204.0,80,1,13748,2010-12-01 09:00:00
536372,22.200000000000003,12,2,17850,2010-12-01 09:01:00
536373,259.86,88,16,17850,2010-12-01 09:02:00
536374,350.4,32,1,15100,2010-12-01 09:09:00
536375,259.86,88,16,17850,2010-12-01 09:32:00
536376,328.8,112,2,15291,2010-12-01 09:32:00
536377,22.200000000000003,12,2,17850,2010-12-01 09:34:00
536378,444.98,454,19,14688,2010-12-01 09:37:00
536380,34.8,24,1,17809,2010-12-01 09:41:00
536381,449.98,198,34,15311,2010-12-01 09:41:00
536382,430.6,134,12,16098,2010-12-01 09:45:00
536384,489.6,190,13,18074,2010-12-01 09:53:00
536385,130.85,53,7,17420,2010-12-01 09:56:00
536386,508.20000000000005,236,3,16029,2010-12-01 09:57:00
536387,3193.92,1440,5,16029,2010-12-01 09:58:00
536388,226.14,108,14,16250,2010-12-01 09:59:00
536389,358.25,107,14,12431,2010-12-01 10:03:00
536390,1825.74,1568,24,17511,2010-12-01 10:19:00
536392,318.14,103,10,13705,2010-12-01 10:29:00
536393,79.6,8,1,13747,2010-12-01 10:37:00
536394,1024.68,544,11,13408,2010-12-01 10:39:00
536395,507.88,260,14,13767,2010-12-01 10:47:00
536396,376.36,102,18,17850,2010-12-01 10:51:00
536397,279.0,60,2,17924,2010-12-01 10:51:00
536398,426.56,150,17,13448,2010-12-01 10:52:00
536399,22.200000000000003,12,2,17850,2010-12-01 10:52:00
536400,17.4,12,1,13448,2010-12-01 10:53:00
536401,354.23,124,64,15862,2010-12-01 11:21:00
536402,357.0,116,3,15513,2010-12-01 11:22:00
536403,192.60000000000002,97,2,12791,2010-12-01 11:27:00
536404,471.3,438,28,16218,2010-12-01 11:29:00
536405,326.4,128,1,14045,2010-12-01 11:32:00
536406,353.14,96,17,17850,2010-12-01 11:33:00
536407,22.200000000000003,12,2,17850,2010-12-01 11:34:00
536408,783.11,558,48,14307,2010-12-01 11:41:00
536409,232.03,169,51,17908,2010-12-01 11:45:00
536412,453.46,197,54,17920,2010-12-01 11:49:00
536415,390.79,228,59,12838,2010-12-01 11:57:00
536416,225.7,110,6,13255,2010-12-01 11:58:00
536420,233.45,111,14,16583,2010-12-01 12:03:00
536423,303.9,78,9,18085,2010-12-01 12:08:00
536425,362.45,137,17,13758,2010-12-01 12:08:00
536437,842.12,1004,6,13694,2010-12-01 12:12:00
536446,430.99,323,28,15983,2010-12-01 12:15:00
536460,295.54,158,14,14849,2010-12-01 12:22:00
536463,17.4,12,1,14849,2010-12-01 12:22:00
536464,265.1,151,74,17968,2010-12-01 12:23:00
536466,42.9,18,2,14849,2010-12-01 12:23:00
536477,2474.7400000000002,1070,14,16210,2010-12-01 12:27:00
536488,163.34,71,31,17897,2010-12-01 12:31:00
