StockCode,TotalRevenue,CumulativeRevenue,CumulativeRevenuePct,CumulativeProductPct
23843,168469.6,168469.6,1.8956412751110023,0.027285129604365622
22423,142264.75,310734.35,3.4964222592965646,0.054570259208731244
85123A,100547.45,411281.8,4.627794900575227,0.08185538881309685
85099B,85040.54000000001,496322.33999999997,5.5846818266540454,0.10914051841746249
23166,81416.73000000001,577739.07,6.500793183673759,0.1364256480218281
POST,77803.96,655543.0299999999,7.37625319511253,0.1637107776261937
47566,68785.23000000001,724328.2599999999,8.150233314410038,0.19099590723055934
84879,56413.03,780741.2899999999,8.784999872424514,0.21828103683492497
M,53419.93,834161.22,9.386087690176444,0.24556616643929058
23084,51251.24,885412.46,9.962773133393616,0.2728512960436562
22502,47348.35,932760.8099999999,10.495542764047467,0.30013642564802184
79321,46265.11,979025.9199999999,11.016123641033884,0.3274215552523874
22086,42584.130000000005,1021610.0499999999,11.495285664880873,0.35470668485675305
21137,39045.8,1060655.8499999999,11.93463395145441,0.3819918144611187
23203,37646.94,1098302.7899999998,12.35824208814867,0.4092769440654843
22386,37254.36,1135557.15,12.777432864964455,0.43656207366984995
22197,37206.88,1172764.0299999998,13.196089390807108,0.4638472032742156
23298,36144.25,1208908.2799999998,13.602789069312497,0.49113233287858116
23284,35880.85,1244789.13,14.006524937659465,0.5184174624829468
82484,34414.71,1279203.8399999999,14.39376361304645,0.5457025920873124
22720,33298.3,1312502.14,14.768440301725171,0.572987721691678
22960,32616.22,1345118.3599999999,15.135442139861555,0.6002728512960437
85099F,30569.32,1375687.68,15.479411999967333,0.6275579809004093
22178,28735.36,1404423.04,15.802745909890392,0.6548431105047748
22470,28479.65,1432902.69,16.123202538508938,0.6821282401091405
22469,28217.089999999997,1461119.78,16.440704808755452,0.7094133697135061
20725,28158.8,1489278.58,16.7575511925398,0.7366984993178717
23245,26566.280000000002,1515844.86,17.05647833959871,0.7639836289222374
23199,26426.3,1542271.1600000001,17.35383041396979,0.7912687585266029
21175,26063.34,1568334.5000000002,17.647098416453634,0.8185538881309686
22727,25868.95,1594203.4500000002,17.93817911803886,0.8458390177353342
22910,25639.77,1619843.2200000002,18.22668105723948,0.8731241473396999
20685,25364.85,1645208.0700000003,18.51208956178273,0.9004092769440655
22699,24827.25,1670035.3200000003,18.791448923041376,0.9276944065484312
22629,24673.14,1694708.4600000002,19.06907421906269,0.9549795361527967
23355,24302.550000000003,1719011.0100000002,19.34252958947046,0.9822646657571623
23201,24160.44,1743171.4500000002,19.614385920160643,1.009549795361528
22457,24089.170000000002,1767260.62,19.8854403117848,1.0368349249658937
21181,23865.820000000003,1791126.4400000002,20.1539815409227,1.0641200545702592
21915,23756.43,1814882.87,20.421291899926846,1.0914051841746248
85099C,23630.58,1838513.4500000002,20.687186178792665,1.1186903137789905
48138,23622.54,1862135.9900000002,20.95298999056025,1.145975443383356
22112,23584.64,1885720.6300000001,21.218367346727973,1.1732605729877217
23173,23033.52,1908754.1500000001,21.477543430858848,1.2005457025920874
22138,22953.100000000002,1931707.2500000002,21.735814618964895,1.227830832196453
48187,22783.8,1954491.0500000003,21.992180822029862,1.2551159618008185
22189,22687.920000000002,1977178.9700000002,22.247468171192065,1.2824010914051842
21623,22679.28,1999858.2500000002,22.50265830198005,1.3096862210095497
21733,22595.190000000002,2022453.4400000002,22.756902241438418,1.3369713506139156
23243,22109.08,2044562.5200000003,23.00567640961316,1.364256480218281
22326,22101.77,2066664.2900000003,23.25436832474212,1.3915416098226467
21931,21784.84,2088449.1300000004,23.499494103373333,1.4188267394270122
48185,21171.79,2109620.9200000004,23.737721765764547,1.446111869031378
22961,21147.55,2130768.47,23.975676676605868,1.4733969986357434
21621,20945.16,2151713.6300000004,24.211354269535416,1.5006821282401093
23202,20921.55,2172635.18,24.446766199754865,1.5279672578444747
22726,20839.15,2193474.33,24.68125095473873,1.5552523874488404
22666,20838.620000000003,2214312.95,24.915729746095472,1.5825375170532059
23209,20786.21,2235099.16,25.149618813494723,1.6098226466575716
15056N,20672.91,2255772.0700000003,25.382233014945044,1.6371077762619373
22722,20482.600000000002,2276254.6700000004,25.61270582417347,1.6643929058663027
85066,20448.17,2296702.8400000003,25.842791222681488,1.6916780354706684
22139,20426.23,2317129.0700000003,26.072629749530908,1.7189631650750339
21166,20232.13,2337361.2,26.300284238598437,1.7462482946793998
22411,20116.38,2357477.58,26.526636294006757,1.7735334242837655
22630,20104.09,2377581.67,26.7528500607786,1.800818553888131
22111,20049.9,2397631.57,26.97845407480753,1.8281036834924966
71477,20041.22,2417672.79,27.203960420377175,1.8553888130968623
82482,19945.45,2437618.24,27.42838914977799,1.8826739427012278
48194,19924.66,2457542.9000000004,27.652583947465843,1.9099590723055935
21731,19831.71,2477374.6100000003,27.875732859981994,1.937244201909959
22659,19316.17,2496690.7800000003,28.093080851127343,1.9645293315143246
84946,19193.170000000002,2515883.95,28.309044830695306,1.99181446111869
21523,19149.07,2535033.02,28.524512591478196,2.019099590723056
20713,19047.02,2554080.04,28.73883207273692,2.046384720327422
84997D,18798.7,2572878.74,28.950357425907047,2.0736698499317874
22090,18785.99,2591664.7300000004,29.161739764547505,2.100954979536153
22383,18667.6,2610332.3300000005,29.37178996391441,2.1282401091405183
22728,18539.09,2628871.4200000004,29.5803941524861,2.155525238744884
21929,18427.9,2647299.3200000003,29.787747217096083,2.1828103683492497
23206,18220.5,2665519.8200000003,29.992766590639796,2.210095497953615
21928,18053.48,2683573.3000000003,30.195906633991182,2.237380627557981
20727,17950.3,2701523.6,30.397885682915287,2.2646657571623465
21843,17918.8,2719442.4,30.599510289850063,2.291950886766712
22697,17735.54,2737177.94,30.799072832055792,2.3192360163710775
23344,17636.04,2754813.98,30.997515787660294,2.3465211459754434
82494L,17583.77,2772397.75,31.195370594605045,2.3738062755798093
22328,17569.59,2789967.34,31.39306584639396,2.4010914051841747
84347,17554.27,2807521.61,31.590588715602664,2.42837653478854
22969,17504.2,2825025.81,31.78754819083023,2.455661664392906
22467,17488.55,2842514.36,31.984331570275792,2.4829467939972716
82486,17467.33,2859981.69,32.180876179593945,2.510231923601637
21108,17291.57,2877273.26,32.37544311513288,2.5375170532060025
20914,17271.530000000002,2894544.7899999996,32.56978455805385,2.5648021828103684
22693,17226.2,2911770.9899999998,32.76361594207397,2.592087312414734
20728,17214.53,2928985.5199999996,32.95731601377614,2.6193724420190994
23240,16394.9,2945380.4199999995,33.141793504915896,2.6466575716234653
21212,16381.880000000001,2961762.2999999993,33.32612449336672,2.673942701227831
22384,16303.3,2978065.599999999,33.50957128970574,2.7012278308321966
22865,16113.730000000001,2994179.329999999,33.690885020396586,2.728512960436562
15036,16044.44,3010223.769999999,33.87141909123217,2.7557980900409276
22492,16039.240000000002,3026263.0099999993,34.05189465100919,2.7830832196452935
21485,15827.18,3042090.1899999995,34.229984084809786,2.810368349249659
22382,15820.15,3057910.3399999994,34.40799441616005,2.8376534788540244
20712,15511.6,3073421.9399999995,34.582532903833865,2.8649386084583903
21754,15504.51,3088926.4499999993,34.756991613929756,2.892223738062756
85152,15484.51,3104410.959999999,34.931225281492736,2.9195088676671213
22114,15386.07,3119797.029999999,35.10435128970874,2.9467939972714867
22385,15320.75,3135117.779999999,35.27674230901226,2.9740791268758526
15056BL,15218.67,3150336.449999999,35.44798471122782,3.0013642564802185
84997B,15158.81,3165495.259999999,35.61855356114238,3.028649386084584
22077,14969.839999999998,3180465.0999999987,35.78699609668474,3.0559345156889495
22698,14663.29,3195128.3899999987,35.95198929280393,3.0832196452933154
22624,14638.73,3209767.1199999987,36.11670613669272,3.110504774897681
82483,14573.720000000001,3224340.839999999,36.28069147982828,3.1377899045020468
20726,14497.51,3238838.3499999987,36.443819298392185,3.1650750341064118
22993,14151.42,3252989.7699999986,36.60305286844537,3.192360163710778
84997C,14040.59,3267030.3599999985,36.76103936530243,3.219645293315143
22835,13685.130000000001,3280715.4899999984,36.915026181222096,3.246930422919509
84077,13558.409999999998,3294273.8999999985,37.06758712765325,3.2742155525238745
48184,13447.1,3307720.9999999986,37.218895599867494,3.3015006821282404
22084,13411.550000000001,3321132.5499999984,37.3698040589795,3.3287858117326055
84029E,13311.26,3334443.809999998,37.519584042310214,3.3560709413369714
22847,13191.689999999999,3347635.499999998,37.66801860885794,3.383356070941337
22622,13035.66,3360671.1599999983,37.81469750608518,3.4106412005457027
23200,13034.92,3373706.079999998,37.9613680767387,3.4379263301500678
22900,13030.7,3386736.7799999984,38.10799116341778,3.4652114597544337
