StockCode,TotalRevenue,TotalQuantity,Orders,Customers,AverageUnitPrice,Description,RevenuePercentage
10002,699.55,823,49,40,0.85,INFLATABLE POLITICAL GLOBE,0.007871425194835753
10080,114.41,291,21,19,0.41190476190476194,GROOVY CACTUS INFLATABLE,0.001287355809507767
10120,40.32,192,29,25,0.21,DOGGY RUBBER,0.0004536857463451899
10123C,3.25,5,3,3,0.65,HEARTS WRAPPING TAPE,3.656941159776456e-05
10124A,6.72,16,5,5,0.42000000000000004,SPOTS ON RED BOOKCOVER TAPE,7.561429105753164e-05
10124G,7.14,17,4,4,0.42,ARMY CAMO BOOKCOVER TAPE,8.034018424862738e-05
10125,929.45,1225,61,49,0.7817460317460317,MINI FUNKY DESIGN TAPES,0.010458289110628393
10133,1138.99,2373,122,101,0.5292622950819672,COLOURING PENCILS BROWN TUBE,0.01281605972791934
10135,1784.19,1936,117,92,1.1968067226890755,COLOURING PENCILS BROWN TUBE,0.020075931839574016
11001,1953.0,1252,62,44,1.851875,ASSTD DESIGN RACING CAR PEN,0.021975403338595136
15030,41.47,143,12,11,0.29,FAN BLACK FRAME,0.0004666256919874758
15034,697.0600000000001,6419,91,70,0.13692307692307693,PAPER POCKET TRAVELING FAN,0.007843407399488545
15036,16044.44,21876,324,194,0.8050153846153846,ASSORTED COLOURS SILK FAN,0.18053407083558082
15039,1132.3,1558,70,58,0.8362857142857143,SANDALWOOD FAN,0.012740783000661173
15044A,1230.5800000000002,422,78,53,3.017692307692308,PINK PAPER PARASOL,0.013846642007377574
15044B,865.6500000000001,307,48,36,2.9333333333333336,BLUE PAPER PARASOL,0.00974040343064766
15044C,779.45,271,60,43,2.943333333333334,PURPLE PAPER PARASOL,0.00877047011380849
15044D,1732.79,629,73,53,2.9615068493150685,RED PAPER PARASOL,0.01949757252999706
15056BL,15218.67,2779,291,142,5.8937113402061865,EDWARDIAN PARASOL BLACK,0.17124240221555434
15056N,20672.91,3822,378,184,5.864236842105263,EDWARDIAN PARASOL NATURAL,0.2326142014503209
15056P,4242.26,767,135,87,5.941185185185185,EDWARDIAN PARASOL PINK,0.047734446782994676
15058A,1104.6,148,51,40,7.8088235294117645,BLUE POLKADOT GARDEN PARASOL,0.012429099092581762
15058B,866.25,115,41,32,7.8621951219512205,PINK POLKADOT GARDEN PARASOL,0.009747154706634939
15058C,894.35,193,30,26,6.35,ICE CREAM DESIGN GARDEN PARASOL,0.010063339465372535
15060B,1482.87,411,95,68,3.820315789473684,FAIRY CAKE DESIGN UMBRELLA,0.016685441038762194
16008,360.71,2892,70,54,0.13614285714285712,SMALL FOLDING SCISSOR(POINTED EDGE),0.004058754602286048
16010,3.5999999999999996,30,3,3,0.12,FOLDING CAMPING SCISSOR W/KNIF & S,4.050765592367766e-05
16011,367.29,1749,46,38,0.21,ANIMAL STICKERS,0.004132793595613214
16012,256.2,1220,35,33,0.21,FOOD/DRINK SPONGE STICKERS,0.002882794846568394
16014,4335.76,13328,54,34,0.4014814814814815,SMALL CHINESE STYLE SCISSOR,0.04878652062434575
16015,289.98,662,24,19,0.48833333333333334,MEDIUM CHINESE STYLE SCISSOR,0.0032628916846522363
