YearMonth,Segment,Revenue,Orders,Customers,Units
2010-12,Segment 0,76360.64,297,239,47183
2010-12,Segment 1,46193.270000000004,21,4,17516
2010-12,Segment 2,356877.64,963,620,184577
2010-12,Segment 3,90991.18,119,22,61772
2011-01,Segment 0,155731.98,201,183,111828
2011-01,Segment 1,57319.33,15,4,33708
2011-01,Segment 2,277390.7,696,533,157666
2011-01,Segment 3,77659.3,75,21,45271
2011-02,Segment 0,64118.54,217,199,42871
2011-02,Segment 1,48827.05,11,4,27772
2011-02,Segment 2,264785.96,689,532,141749
2011-02,Segment 3,68353.37,80,23,52635
2011-03,Segment 0,76905.97,285,263,46053
2011-03,Segment 1,69051.24,25,5,35220
2011-03,Segment 2,354651.91,912,681,199384
2011-03,Segment 3,93472.64,99,25,66925
2011-04,Segment 0,82822.8,227,210,45099
2011-04,Segment 1,12680.88,15,5,6605
2011-04,Segment 2,305114.651,812,618,178101
2011-04,Segment 3,67756.0,95,23,61561
2011-05,Segment 0,76717.37,294,259,46544
2011-05,Segment 1,86722.36,35,5,42941
2011-05,Segment 2,416775.09,1099,767,224332
2011-05,Segment 3,97140.33,127,25,59047
2011-06,Segment 0,112794.5,278,246,46167
2011-06,Segment 1,106158.92,32,5,51700
2011-06,Segment 2,345369.85,979,719,201589
2011-06,Segment 3,95722.78,104,21,63558
2011-07,Segment 0,78601.02,251,219,57004
2011-07,Segment 1,47828.51,28,5,22272
2011-07,Segment 2,356739.121,956,702,221602
2011-07,Segment 3,115794.25,96,23,66482
2011-08,Segment 0,62921.83,222,205,44253
2011-08,Segment 1,91249.12,25,5,53951
2011-08,Segment 2,380144.74,933,700,227070
2011-08,Segment 3,109735.35,100,25,72099
2011-09,Segment 0,118186.372,350,321,79757
2011-09,Segment 1,175981.36,61,5,69348
2011-09,Segment 2,546807.68,1237,917,325003
2011-09,Segment 3,109714.79000000001,107,23,69544
2011-10,Segment 0,124286.0,415,376,70752
2011-10,Segment 1,131486.34,51,5,60442
2011-10,Segment 2,621343.88,1337,957,358017
2011-10,Segment 3,158526.23,126,26,102332
2011-11,Segment 0,133394.21,522,438,78186
2011-11,Segment 1,97626.55,66,5,51829
2011-11,Segment 2,759237.09,1921,1194,441095
2011-11,Segment 3,165947.76,148,27,94813
2011-12,Segment 0,213040.12,123,115,104029
2011-12,Segment 1,31754.88,16,4,15322
2011-12,Segment 2,213239.36000000002,586,475,128310
2011-12,Segment 3,59156.08,53,21,39116
