Segment,StockCode,Revenue,Quantity,Orders,Customers
Segment 0,10002,30.599999999999998,36,2,2
Segment 0,10080,14.04,36,2,2
Segment 0,10120,1.05,5,1,1
Segment 0,10124A,1.26,3,1,1
Segment 0,10125,59.2,100,4,4
Segment 0,10133,236.88,521,16,15
Segment 0,10135,416.4,428,18,17
Segment 0,11001,136.89,81,5,4
Segment 0,15030,17.4,60,1,1
Segment 0,15034,43.68000000000001,312,13,13
Segment 0,15036,4208.16,6032,45,39
Segment 0,15039,351.9,414,10,10
Segment 0,15044A,185.85000000000002,63,9,9
Segment 0,15044B,248.45,91,8,8
Segment 0,15044C,103.25000000000001,35,7,7
Segment 0,15044D,381.2,136,13,13
Segment 0,15056BL,2811.15,537,37,30
Segment 0,15056N,3715.25,695,47,42
Segment 0,15056P,962.9000000000001,182,13,11
Segment 0,15058A,194.70000000000002,26,11,11
Segment 0,15058B,55.65,7,4,4
Segment 0,15058C,119.0,20,4,4
Segment 0,15060B,120.0,32,8,8
Segment 0,16008,7.699999999999999,62,4,4
Segment 0,16011,42.42,202,8,8
Segment 0,16012,5.04,24,1,1
Segment 0,16014,3759.48,11694,13,8
Segment 0,16015,118.7,243,8,8
Segment 0,16016,326.35,387,11,11
Segment 0,16043,2.88,24,1,1
Segment 0,16045,96.0,2400,11,11
Segment 0,16048,23.04,192,7,7
Segment 0,16049,17.28,144,1,1
Segment 0,16054,17.28,144,4,4
Segment 0,16156L,21.0,50,2,2
Segment 0,16156S,136.5,325,13,12
Segment 0,16161G,12.5,125,5,5
Segment 0,16161P,231.0,550,22,22
Segment 0,16161U,115.5,275,9,8
Segment 0,16168M,15.120000000000001,36,2,2
Segment 0,16169E,283.5,675,23,23
Segment 0,16169M,10.5,25,1,1
Segment 0,16202A,1.5,3,1,1
Segment 0,16216,11.2,170,3,3
Segment 0,16218,16.5,275,4,4
Segment 0,16219,17.28,288,4,4
Segment 0,16225,193.09,353,8,7
Segment 0,16235,93.45,445,7,6
Segment 0,16236,9.03,43,3,3
Segment 0,16237,79.38,378,14,13
Segment 0,16238,25.619999999999997,122,5,5
Segment 0,16259,91.80000000000001,972,7,7
Segment 0,17001,20.88,72,1,1
Segment 0,17003,1192.5,4854,22,19
Segment 0,17007B,25.200000000000003,12,1,1
Segment 0,17012C,17.849999999999998,21,2,2
Segment 0,17012D,22.95,27,2,2
Segment 0,17012F,22.95,27,2,2
Segment 0,17013D,1.65,1,1,1
Segment 0,17014A,42.0,100,2,2
Segment 0,17021,27.0,90,5,5
Segment 0,17028J,2.52,6,1,1
Segment 0,17038,20.1,201,3,3
Segment 0,17084A,10.5,50,1,1
Segment 0,17084J,21.0,100,3,3
Segment 0,17084N,26.25,125,3,3
Segment 0,17084P,21.0,100,3,3
Segment 0,17084R,30.24,144,2,2
Segment 0,17090A,7.5,6,1,1
Segment 0,17091A,2.2800000000000002,6,1,1
Segment 0,17091J,90.35,208,8,8
Segment 0,17096,348.27000000000004,2043,3,2
Segment 0,17107D,5.1,2,1,1
Segment 0,17129F,27.259999999999998,38,3,3
Segment 0,17136A,13.44,168,4,4
Segment 0,18007,335.15999999999997,5586,2,1
Segment 0,18094C,31.25,25,3,3
Segment 0,18097C,352.95,161,9,7
Segment 0,18098C,175.5,66,3,3
Segment 0,20615,55.2,52,3,3
Segment 0,20616,15.75,21,2,2
Segment 0,20617,12.600000000000001,6,1,1
Segment 0,20619,12.600000000000001,6,1,1
Segment 0,20622,31.500000000000004,15,2,1
Segment 0,20652,62.5,50,5,5
Segment 0,20653,15.0,12,1,1
Segment 0,20654,15.0,12,1,1
Segment 0,20657,6.25,5,1,1
Segment 0,20658,15.0,12,1,1
Segment 0,20659,15.0,12,1,1
Segment 0,20665,76.70000000000002,26,5,5
Segment 0,20666,5.9,2,2,2
Segment 0,20668,100.8,840,13,12
Segment 0,20669,30.0,24,2,2
Segment 0,20674,160.0,128,13,10
Segment 0,20675,407.64,348,18,13
Segment 0,20676,397.64,340,21,17
Segment 0,20677,402.64,344,20,13
Segment 0,20679,1545.65,287,34,25
Segment 0,20681,22.75,7,2,2
Segment 0,20682,276.25,85,15,15
Segment 0,20684,22.75,7,2,2
Segment 0,20685,1505.7,202,52,46
Segment 0,20686,74.75,23,6,6
Segment 0,20696,3.75,1,1,1
Segment 0,20699,5.1,2,1,1
Segment 0,20702,34.0,8,4,4
Segment 0,20704,85.1,18,5,5
Segment 0,20705,78.15,17,5,5
Segment 0,20707,15.0,12,1,1
Segment 0,20711,481.12,249,18,17
Segment 0,20712,1833.38,936,31,25
Segment 0,20713,684.6,368,16,16
Segment 0,20716,13.75,11,2,2
Segment 0,20717,125.0,100,9,9
Segment 0,20718,456.25,365,26,24
Segment 0,20719,716.05,873,49,38
Segment 0,20723,743.35,951,30,23
Segment 0,20724,1519.35,1971,59,49
Segment 0,20725,2025.3,1282,60,50
Segment 0,20726,862.75,535,37,29
Segment 0,20727,1621.15,1031,53,41
Segment 0,20728,2502.7,1638,65,57
Segment 0,20733,43.35,51,4,4
Segment 0,20735,0.85,1,1,1
Segment 0,20748,63.75,5,1,1
Segment 0,20749,1509.8999999999999,202,50,46
Segment 0,20750,1730.55,237,51,41
Segment 0,20751,84.00000000000001,40,7,7
Segment 0,20752,48.300000000000004,23,4,4
Segment 0,20754,251.88,134,11,10
Segment 0,20755,5.949999999999999,7,2,2
Segment 0,20756,2.55,3,1,1
Segment 0,20757,5.1,6,2,2
Segment 0,20758,3.4,4,2,2
Segment 0,20759,2.55,3,1,1
Segment 0,20761,30.0,8,4,4
Segment 0,20762,7.5,2,2,2
Segment 0,20764,15.0,4,2,2
Segment 0,20765,18.75,5,2,2
Segment 0,20766,30.0,8,3,3
Segment 0,20767,45.9,18,3,3
Segment 0,20770,93.45,43,3,3
Segment 0,20771,15.299999999999999,6,1,1
Segment 0,20772,210.75,92,7,6
Segment 0,20775,9.899999999999999,6,1,1
Segment 0,20777,29.699999999999996,18,4,4
Segment 0,20780,10.98,2,2,2
Segment 0,20781,21.96,4,3,3
Segment 0,20782,10.98,2,1,1
Segment 0,20785,39.95,1,1,1
Segment 0,20793,6.75,1,1,1
Segment 0,20794,22.95,9,2,2
Segment 0,20798,25.200000000000003,12,1,1
Segment 0,20801,70.24000000000001,80,6,6
Segment 0,20802,64.35,39,5,5
Segment 0,20803,29.25,75,3,3
Segment 0,20818,7.5,2,1,1
Segment 0,20819,90.0,24,5,4
