StockCode,Description,TotalQuantity,TransactionCount,UniqueCustomers,TotalRevenue,AverageUnitPrice
10002,INFLATABLE POLITICAL GLOBE,823,49,40,699.55,0.85
10080,GROOVY CACTUS INFLATABLE,291,21,19,114.41,0.41190476190476194
10120,DOGGY RUBBER,192,29,25,40.32,0.21
10123C,HEARTS WRAPPING TAPE,5,3,3,3.25,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,16,5,5,6.72,0.42000000000000004
10124G,ARMY CAMO BOOKCOVER TAPE,17,4,4,7.14,0.42
10125,MINI FUNKY DESIGN TAPES,1225,61,49,929.45,0.7817460317460317
10133,COLOURING PENCILS BROWN TUBE,2363,123,101,1134.79,0.5283739837398373
10135,COLOURING PENCILS BROWN TUBE,1935,118,92,1782.94,1.19725
11001,ASSTD DESIGN RACING CAR PEN,1067,67,45,1715.95,1.8340579710144926
15030,FAN BLACK FRAME,143,12,11,41.47,0.29
15034,PAPER POCKET TRAVELING FAN,5034,95,70,588.7700000000001,0.13557894736842105
15036,ASSORTED COLOURS SILK FAN,21132,328,194,15538.76,0.8045288753799392
15039,SANDALWOOD FAN,1532,73,58,1110.2,0.8368493150684931
15044A,PINK PAPER PARASOL,421,79,53,1227.63,3.0168354430379747
15044B,BLUE PAPER PARASOL,306,49,37,862.7,2.933673469387755
15044C,PURPLE PAPER PARASOL,268,62,43,771.4000000000001,2.9370967741935488
15044D,RED PAPER PARASOL,627,75,54,1727.29,2.9558666666666666
15056BL,EDWARDIAN PARASOL BLACK,2649,296,142,14566.17,5.887905405405406
15056N,EDWARDIAN PARASOL NATURAL,3777,384,184,20406.86,5.861165803108808
15056P,EDWARDIAN PARASOL PINK,757,139,89,4184.06,5.9320863309352525
15058A,BLUE POLKADOT GARDEN PARASOL,143,55,41,1067.25,7.775454545454546
15058B,PINK POLKADOT GARDEN PARASOL,110,43,32,828.9,7.838372093023256
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,30,26,894.35,6.35
15060B,FAIRY CAKE DESIGN UMBRELLA,410,96,68,1479.12,3.8195833333333336
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,70,54,360.71,0.13614285714285712
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3,3,3.5999999999999996,0.12
16011,ANIMAL STICKERS,1749,46,38,367.29,0.21
16012,FOOD/DRINK SPONGE STICKERS,1220,35,33,256.2,0.21
16014,SMALL CHINESE STYLE SCISSOR,13328,54,34,4335.76,0.4014814814814815
16015,MEDIUM CHINESE STYLE SCISSOR,662,24,19,289.98,0.48833333333333334
16016,LARGE CHINESE STYLE SCISSOR,1273,65,41,1053.45,0.8460000000000001
16020C,CLEAR STATIONERY BOX SET,6,2,1,5.1,0.85
16033,MINI HIGHLIGHTER PENS,840,4,4,100.79999999999998,0.12
16043,POP ART PUSH DOWN RUBBER,98,2,2,11.759999999999998,0.12
16045,POPART WOODEN PENCILS ASST,8900,68,61,380.0,0.043478260869565216
16046,TEATIME PEN CASE & PENS,64,13,13,54.4,0.85
16048,TEATIME ROUND PENCIL SHARPENER,1436,47,41,186.72,0.13249999999999998
16049,TEATIME GEL PENS ASST,504,5,5,82.08,0.24
16052,TEATIME PUSH DOWN RUBBER,467,6,5,105.28999999999999,0.305
16054,POPART RECT PENCIL SHARPENER ASST,1058,34,29,127.56,0.1288235294117647
16151A,FLOWERS HANDBAG blue and orange,49,3,3,61.25,1.25
16156L,WRAP CAROUSEL,375,14,13,157.5,0.42
16156L,"WRAP, CAROUSEL",100,4,4,42.0,0.42
16156S,WRAP PINK FAIRY CAKES,5800,167,135,2331.0,0.4168862275449102
16161G,WRAP BAD HAIR DAY,700,22,22,70.0,0.1
16161M,WRAP  PINK FLOCK,25,1,1,10.5,0.42
16161P,WRAP ENGLISH ROSE,7176,249,189,2969.92,0.41943775100401604
16161U,WRAP SUKI AND FRIENDS,4050,135,105,1677.0,0.41955555555555557
16162L,THE KING GIFT BAG,17,6,5,11.05,0.65
16162M,THE KING GIFT BAG 25x24x12cm,26,7,6,10.92,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,20,19,138.18,0.42000000000000004
16169E,WRAP 50'S  CHRISTMAS,4438,151,143,1839.96,0.4192105263157895
16169K,WRAP FOLK ART,200,8,8,84.0,0.42
16169M,WRAP DAISY CARPET,660,25,24,277.2,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,25,1,1,10.5,0.42
